Customer Code,Recency,Frequency,Monetary,Total Quantity,R_Score,F_Score,M_Score,RFM_Score_Sum,RFM_Segment,Cluster_ID,Cluster_Name
A028,3,33,15965.55,1405.0,10,1,1,12,New Customers,4,Segment 3
A029,551,13,5383.8,792.0,1,1,1,3,Lost Customers,4,Segment 3
A030,8,8,1736.1,102.0,10,1,1,12,New Customers,4,Segment 3
A031,7,34,9469.8,725.0,10,1,1,12,New Customers,4,Segment 3
A032,6,54,10145.7,649.0,10,1,1,12,New Customers,4,Segment 3
A033,6,46,19017.0,1338.0,10,1,1,12,New Customers,4,Segment 3
A034,8,20,4296.45,475.0,10,1,1,12,New Customers,4,Segment 3
A035,6,78,19938.45,1283.0,10,1,1,12,New Customers,4,Segment 3
A036,1,41,25281.75,1994.0,10,1,1,12,New Customers,4,Segment 3
A037,41,7,1159.3500000000001,70.0,10,1,1,12,New Customers,4,Segment 3
A038,2,72,11022.3,1110.0,10,1,1,12,New Customers,4,Segment 3
A039,1,242,542163.3,44563.0,10,1,1,12,New Customers,5,Sub-Segment 1
